,title,duration
0,The Crying Game,112
1,A Few Good Men,138
2,Howards End,142
3,Scent of a Woman,156
4,Unforgiven,130
5,The Fugitive,130
6,In the Name of the Father,133
7,The Piano,121
8,The Remains of the Day,134
9,Schindler's List,195
10,Forrest Gump,142
11,Four Weddings and a Funeral,117
12,Pulp Fiction,154
13,Quiz Show,133
14,The Shawshank Redemption,142
15,Apollo 13,140
16,Babe,91
17,Braveheart,178
18,The Postman,108
19,Sense and Sensibility,136
20,The English Patient,162
21,Fargo,98
22,Jerry Maguire,139
23,Secrets & Lies,136
24,Shine,105
25,As Good as It Gets,139
26,The Full Monty,91
27,Good Will Hunting,126
28,L.A. Confidential,138
29,Titanic,194
30,Elizabeth,124
31,Life Is Beautiful,116
32,Saving Private Ryan,169
33,Shakespeare in Love,123
34,The Thin Red Line,170
35,American Beauty,122
36,The Cider House Rules,126
37,The Green Mile,189
38,The Insider,157
39,The Sixth Sense,107
40,Chocolat,121
41,"Crouching Tiger, Hidden Dragon",120
42,Erin Brockovich,131
43,Gladiator,155
44,Traffic,147
45,A Beautiful Mind,135
46,Gosford Park,137
47,In the Bedroom,131
48,The Lord of the Rings: The Fellowship of the Ring,178
49,Moulin Rouge!,127
50,Chicago,113
51,Gangs of New York,167
52,The Hours,110
53,The Lord of the Rings: The Two Towers,179
54,The Pianist,150
55,The Lord of the Rings: The Return of the King,201
56,Lost in Translation,102
57,Master and Commander: The Far Side of the World,138
58,Mystic River,138
59,Seabiscuit,140
60,The Aviator,170
61,Finding Neverland,106
62,Million Dollar Baby,132
63,Ray,152
64,Sideways,127
65,Brokeback Mountain,134
66,Capote,114
67,Crash,112
68,"Good Night, and Good Luck.",93
69,Munich,164
70,Babel,143
71,The Departed,151
72,Letters from Iwo Jima,141
73,Little Miss Sunshine,101
74,The Queen,103
75,Atonement,123
76,Juno,96
77,Michael Clayton,119
78,No Country for Old Men,122
79,There Will Be Blood,158
80,The Curious Case of Benjamin Button,166
81,Frost/Nixon,122
82,Milk,128
83,The Reader,124
84,Slumdog Millionaire,120
85,Avatar,162
86,The Blind Side,129
87,District 9,112
88,An Education,100
89,The Hurt Locker,131
90,Inglourious Basterds,153
91,Precious,110
92,A Serious Man,106
93,Up,96
94,Up in the Air,109
95,Black Swan,108
96,The Fighter,116
97,Inception,148
98,The Kids Are All Right,106
99,The King's Speech,118
100,127 Hours,94
101,The Social Network,120
102,Toy Story 3,103
103,True Grit,110
104,Winter's Bone,100
105,The Artist,100
106,The Descendants,115
107,Extremely Loud & Incredibly Close,129
108,The Help,146
109,Hugo,126
110,Midnight in Paris,94
111,Moneyball,133
112,The Tree of Life,139
113,War Horse,146
114,Amour,127
115,Argo,120
116,Beasts of the Southern Wild,93
117,Django Unchained,165
118,Les Misérables,158
119,Life of Pi,127
120,Lincoln,150
121,Silver Linings Playbook,122
122,Zero Dark Thirty,157
123,American Hustle,138
124,Captain Phillips,134
125,Dallas Buyers Club,117
126,Gravity,91
127,Her,126
128,Nebraska,115
129,Philomena,98
130,12 Years a Slave,134
131,The Wolf of Wall Street,180
132,American Sniper,133
133,Birdman or (The Unexpected Virtue of Ignorance),119
134,Boyhood,165
135,The Grand Budapest Hotel,99
136,The Imitation Game,114
137,Selma,128
138,The Theory of Everything,123
139,Whiplash,106
140,The Big Short,130
141,Bridge of Spies,142
142,Brooklyn,117
143,Mad Max: Fury Road,120
144,The Martian,144
145,The Revenant,156
146,Room,118
147,Spotlight,129
148,Arrival,116
149,Fences,139
150,Hacksaw Ridge,139
151,Hell or High Water,102
152,Hidden Figures,127
153,La La Land,128
154,Lion,118
155,Manchester by the Sea,137
156,Moonlight,111
157,Call Me by Your Name,132
158,Darkest Hour,125
159,Dunkirk,106
160,Get Out,104
161,Lady Bird,94
162,Phantom Thread,130
163,The Post,116
164,The Shape of Water,123
165,"Three Billboards Outside Ebbing, Missouri",115
166,Black Panther,134
167,BlacKkKlansman,135
168,Bohemian Rhapsody,134
169,The Favourite,119
170,Green Book,130
171,Roma,135
172,A Star Is Born,136
173,Vice,132
174,Ford v Ferrari,152
175,The Irishman,209
176,Jojo Rabbit,108
177,Joker,122
178,Little Women,135
179,Marriage Story,137
180,1917,119
181,,
182,Parasite,132
183,The Father,97
184,Judas and the Black Messiah,126
185,Mank,131
186,Minari,115
187,Nomadland,107
188,Promising Young Woman,113
189,Sound of Metal,120
190,The Trial of the Chicago 7,129
191,Belfast,98
192,CODA,111
193,Don't Look Up,138
194,Drive My Car,179
195,Dune,155
196,King Richard,144
197,Licorice Pizza,133
198,Nightmare Alley,150
199,The Power of the Dog,126
200,West Side Story,156
201,All Quiet on the Western Front,148
202,Avatar: The Way of Water,192
203,The Banshees of Inisherin,114
204,Elvis,159
205,Everything Everywhere All at Once,139
206,The Fabelmans,151
207,Tár,158
208,Top Gun: Maverick,130
209,Triangle of Sadness,147
210,Women Talking,104
