Azúcares|Vitamínas del grupo B|Cafeína|Ácido Cítrico|Taurina
14.02|2.21|2.33|1035|4.7
11.56|3.23|5.08|465|6.0
12.58|2.1|0.58|640|7.6
12.33|2.28|1.09|680|3.27
12.37|1.36|0.57|520|1.95
11.46|1.82|2.58|562|2.9
13.88|2.23|0.34|415|4.9
11.96|2.3|2.14|886|3.21
11.61|2.7|2.92|680|2.65
13.67|1.92|1.79|630|3.8
13.41|2.12|2.68|1035|4.28
14.16|2.48|0.7|660|9.7
14.39|2.45|2.52|1290|5.25
12.72|2.28|1.76|488|3.3
13.4|2.86|0.96|630|8.5
12.72|2.2|2.53|714|3.9
12.37|2.16|3.1|420|4.45
14.22|2.51|3.04|760|5.1
13.82|2.42|3.74|1190|7.05
13.51|2.65|2.53|1095|4.2
12.42|2.19|2.09|345|2.06
12.08|2.3|1.59|625|1.74
14.3|2.72|3.14|1280|6.2
12.42|2.27|1.84|315|2.7
14.1|2.3|3.32|1510|5.75
13.49|2.19|0.48|580|5.7
12.08|1.7|2.17|710|3.3
14.21|2.44|2.65|1080|5.24
12.51|2.25|0.58|650|5.45
13.83|2.6|2.99|1265|5.6
12.04|2.38|1.75|580|2.6
13.77|2.68|2.79|1375|6.3
13.39|2.62|2.94|1195|4.8
13.34|2.36|1.3|750|3.17
12.0|2.0|1.64|564|1.28
13.86|2.67|2.86|410|3.38
12.2|2.32|0.49|510|5.5
12.37|2.56|2.65|678|4.6
12.53|2.64|0.6|515|5.0
11.84|2.58|2.21|520|3.05
13.83|2.62|3.4|1130|6.6
13.69|2.54|0.56|680|5.88
13.48|2.41|2.98|920|5.1
12.08|2.32|1.5|480|2.4
13.71|2.36|2.88|1035|3.8
12.84|2.61|0.6|590|4.92
14.1|2.4|2.92|1060|6.2
14.23|2.43|3.06|1065|5.64
12.43|2.29|3.15|352|3.94
12.08|2.5|2.29|385|2.9
14.38|2.28|3.17|1065|4.9
13.62|2.35|0.8|550|4.4
11.45|2.42|2.79|625|3.25
11.41|2.5|2.01|434|3.08
12.93|2.65|2.41|770|4.5
12.34|2.46|2.11|438|2.8
12.69|2.26|1.46|495|3.05
12.37|2.1|3.75|660|4.5
12.6|2.2|0.66|695|7.1
12.87|2.48|0.65|625|7.65
13.86|2.27|3.15|1045|7.22
13.58|2.36|3.19|1515|6.9
12.45|2.64|0.58|880|7.5
13.07|2.1|2.64|1020|3.7
13.58|2.69|0.84|750|8.66
11.76|2.92|2.03|607|3.8
13.27|2.26|0.69|835|10.2
13.56|2.46|2.78|1120|6.25
13.24|2.29|2.63|680|4.36
12.82|2.3|0.66|685|10.26
12.36|2.38|0.92|520|7.65
12.96|2.35|0.7|675|5.28
13.29|2.68|3.23|1270|6.0
14.75|2.39|3.69|1150|5.4
13.9|2.12|3.39|985|6.1
11.62|2.28|2.26|345|3.25
14.13|2.74|0.76|560|9.2
11.82|1.99|1.6|495|1.95
14.22|2.3|3.0|970|6.38
12.25|2.54|0.47|720|3.85
12.99|2.6|2.89|985|3.35
14.06|2.28|3.17|780|5.65
13.32|2.38|0.76|650|8.42
11.65|2.62|1.61|562|2.6
13.4|2.48|0.75|750|7.3
13.63|2.7|2.91|1310|7.3
12.22|1.94|2.04|312|2.7
13.71|2.45|0.61|740|7.7
13.75|2.41|2.76|1320|5.6
13.84|2.38|0.83|480|9.01
12.67|2.24|1.94|450|2.62
13.5|2.61|2.61|845|3.52
14.12|2.32|2.43|1280|5.0
13.52|2.72|0.52|520|4.35
11.81|2.74|0.99|625|2.5
12.52|2.17|2.27|325|2.0
14.19|2.48|3.93|1680|8.7
12.17|2.53|1.75|355|2.95
13.88|2.59|3.56|1095|5.43
12.42|2.73|2.13|365|2.08
13.16|2.15|0.55|830|4.0
12.0|2.42|1.25|450|3.6
13.73|2.26|0.47|520|6.62
13.49|2.24|1.84|472|3.74
12.29|2.21|2.99|406|2.3
13.72|2.5|3.67|1285|6.8
12.93|2.7|0.5|600|4.6
12.21|1.75|1.28|718|2.85
12.29|2.21|1.02|870|3.05
13.28|2.84|2.68|880|4.6
12.7|2.4|2.55|463|2.57
13.76|2.7|2.74|1235|5.4
12.33|1.95|1.85|750|3.4
12.29|2.22|2.25|290|2.15
13.24|2.87|2.69|735|4.32
13.73|2.7|3.25|1285|5.7
12.07|2.17|2.65|378|2.76
12.16|2.31|1.69|495|2.45
13.17|2.37|0.68|840|9.3
13.74|2.25|2.9|1060|5.85
13.05|2.55|2.43|1105|4.25
11.79|2.78|2.24|466|3.0
11.87|2.39|3.03|380|2.8
12.51|1.98|1.92|672|2.94
12.85|2.58|0.6|570|5.58
12.37|2.3|2.45|342|2.12
11.66|1.92|1.57|428|3.8
11.82|1.88|1.64|415|2.06
13.16|2.67|3.24|1185|5.68
13.05|2.1|3.0|885|5.04
11.03|2.2|2.17|407|1.9
12.08|2.51|1.58|630|2.2
13.56|2.31|3.29|795|6.13
13.05|2.13|2.65|380|2.6
12.25|2.2|0.78|855|8.21
13.87|2.8|2.97|915|4.5
12.77|2.28|0.51|470|9.899999
11.84|2.23|1.32|500|2.65
12.77|1.98|1.25|372|3.4
13.64|2.56|3.03|845|5.1
13.05|2.04|3.27|1150|7.2
13.94|2.27|3.54|1260|8.9
14.37|2.5|3.49|1480|7.8
14.83|2.17|2.98|1045|5.2
14.38|2.38|3.64|1547|7.5
13.11|1.7|3.18|502|5.3
13.68|2.36|2.69|990|3.84
11.64|2.46|1.69|680|2.8
14.06|2.61|2.51|1295|5.05
14.2|2.45|3.39|1450|6.75
12.6|1.9|1.36|562|2.45
12.29|1.98|2.5|428|2.9
13.23|2.28|0.83|675|10.52
12.25|2.12|2.03|510|3.4
13.45|2.6|0.92|695|10.68
12.85|2.52|2.37|1015|3.93
13.36|2.35|0.5|780|5.6
